instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2015-03-01_reserves_3.json,31881.798669989854,optimal,229.02542567253113,9.198980569839478,0.004032611846923828,238.22843885421753,0.0,,./ca/2015-03-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,31187.28
2020-09-20.json,2960091.0357131865,optimal,40.83346915245056,5.090820789337158,0.00180816650390625,45.926098108291626,0.0,,./rts_gmlc/2020-09-20.json,48,73,81,1,117,292,16128,28416,44544,41263,5601.34,4164.29,5996.58
2015-06-01_reserves_5.json,41930.111597610565,optimal,237.93753838539124,7.20394492149353,0.00410914421081543,245.14559245109558,0.0,,./ca/2015-06-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,63700.28
2020-10-27.json,1792799.8714089876,optimal,47.18504810333252,1.518491268157959,0.0015728473663330078,48.70511221885681,0.0,,./rts_gmlc/2020-10-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4621.1,3941.49,5675.75
2020-12-23.json,2717976.96041452,optimal,40.82191705703735,5.360626935958862,0.0019192695617675781,46.18446326255798,0.0,,./rts_gmlc/2020-12-23.json,48,73,81,1,117,292,16128,28416,44544,41263,4905.85,4207.43,6058.69
Scenario400_reserves_3.json,33749.010219261945,optimal,255.59743642807007,9.867799520492554,0.006497859954833984,265.47173380851746,0.0,,./ca/Scenario400_reserves_3.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,50112.64
2014-12-01_reserves_5.json,39452.56984844505,optimal,272.0080406665802,8.960525512695312,0.0040705204010009766,280.9726366996765,0.0,,./ca/2014-12-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,60724.52
Scenario400_reserves_5.json,33900.10317940375,optimal,272.42040514945984,8.969258546829224,0.00417327880859375,281.39383697509766,0.0,,./ca/Scenario400_reserves_5.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,83521.07
2015-05-01_lw.json,46742334.38170807,optimal,290.3341200351715,14.262276411056519,0.04382824897766113,304.6402246952057,0.0,,./ferc/2015-05-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,84123,73517.17,163580.9
2015-03-01_lw.json,104071054.219149,optimal,378.04815101623535,13.722912788391113,0.03945183753967285,391.81051564216614,0.0,,./ferc/2015-03-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,112122,101636.83,207626.7
